reference,pad,global_x_mil,global_y_mil,datum_x_mm,datum_y_mm,mating_view_x_mm,mating_view_y_mm,board_side,pad_type,pad_size_mil,drill
CN7,1,15336.5945,9581.2991,136.461500,56.769000,-136.461500,56.769000,Bottom,SMD,40x95,none
CN7,2,15201.5945,9481.2991,133.032500,54.229000,-133.032500,54.229000,Bottom,SMD,40x95,none
CN7,3,15336.5945,9381.2991,136.461500,51.689000,-136.461500,51.689000,Bottom,SMD,40x95,none
CN7,4,15201.5945,9281.2991,133.032500,49.149000,-133.032500,49.149000,Bottom,SMD,40x95,none
CN7,5,15336.5945,9181.2991,136.461500,46.609000,-136.461500,46.609000,Bottom,SMD,40x95,none
CN7,6,15201.5945,9081.2991,133.032500,44.069000,-133.032500,44.069000,Bottom,SMD,40x95,none
CN8,1,15336.5945,10481.2991,136.461500,79.629000,-136.461500,79.629000,Bottom,SMD,40x95,none
CN8,2,15201.5945,10381.2991,133.032500,77.089000,-133.032500,77.089000,Bottom,SMD,40x95,none
CN8,3,15336.5945,10281.2991,136.461500,74.549000,-136.461500,74.549000,Bottom,SMD,40x95,none
CN8,4,15201.5945,10181.2991,133.032500,72.009000,-133.032500,72.009000,Bottom,SMD,40x95,none
CN8,5,15336.5945,10081.2991,136.461500,69.469000,-136.461500,69.469000,Bottom,SMD,40x95,none
CN8,6,15201.5945,9981.2991,133.032500,66.929000,-133.032500,66.929000,Bottom,SMD,40x95,none
CN8,7,15336.5748,9881.2991,136.461000,64.389000,-136.461000,64.389000,Bottom,SMD,40x95,none
CN8,8,15201.6142,9781.2991,133.033000,61.849000,-133.033000,61.849000,Bottom,SMD,40x95,none
CN11,1,13301.5945,9081.2991,84.772500,44.069000,-84.772500,44.069000,Bottom,SMD,40x95,none
CN11,2,13436.5945,9181.2991,88.201500,46.609000,-88.201500,46.609000,Bottom,SMD,40x95,none
CN11,3,13301.5945,9281.2991,84.772500,49.149000,-84.772500,49.149000,Bottom,SMD,40x95,none
CN11,4,13436.5945,9381.2991,88.201500,51.689000,-88.201500,51.689000,Bottom,SMD,40x95,none
CN11,5,13301.5945,9481.2991,84.772500,54.229000,-84.772500,54.229000,Bottom,SMD,40x95,none
CN11,6,13436.5945,9581.2991,88.201500,56.769000,-88.201500,56.769000,Bottom,SMD,40x95,none
CN11,7,13301.6142,9681.2991,84.773000,59.309000,-84.773000,59.309000,Bottom,SMD,40x95,none
CN11,8,13436.5748,9781.2991,88.201000,61.849000,-88.201000,61.849000,Bottom,SMD,40x95,none
CN12,1,13301.5945,9941.2991,84.772500,65.913000,-84.772500,65.913000,Bottom,SMD,40x95,none
CN12,2,13436.5945,10041.2991,88.201500,68.453000,-88.201500,68.453000,Bottom,SMD,40x95,none
CN12,3,13301.5945,10141.2991,84.772500,70.993000,-84.772500,70.993000,Bottom,SMD,40x95,none
CN12,4,13436.5945,10241.2991,88.201500,73.533000,-88.201500,73.533000,Bottom,SMD,40x95,none
CN12,5,13301.5945,10341.2991,84.772500,76.073000,-84.772500,76.073000,Bottom,SMD,40x95,none
CN12,6,13436.5945,10441.2991,88.201500,78.613000,-88.201500,78.613000,Bottom,SMD,40x95,none
CN12,7,13301.6142,10541.2991,84.773000,81.153000,-84.773000,81.153000,Bottom,SMD,40x95,none
CN12,8,13436.5748,10641.2991,88.201000,83.693000,-88.201000,83.693000,Bottom,SMD,40x95,none
CN12,9,13301.6142,10741.2991,84.773000,86.233000,-84.773000,86.233000,Bottom,SMD,40x95,none
CN12,10,13436.5748,10841.2991,88.201000,88.773000,-88.201000,88.773000,Bottom,SMD,40x95,none
