index,kind,vertex_x_mil,vertex_y_mil,datum_x_mm,datum_y_mm,center_x_mil,center_y_mil,start_angle_deg,end_angle_deg,radius_mil,source
0,arc,9961.5793,7421.3126,-0.0639,1.9053,10042.7348,7425.3366,180,182.838598991516,81.2552,MB1939.PcbDoc Board6/Data
1,arc,9961.4796,7425.3366,-0.0664,2.0076,9963.9946,7425.3366,163.813183095982,180,2.5150,MB1939.PcbDoc Board6/Data
2,line,9961.5793,7426.0377,-0.0639,2.0254,,,,,,MB1939.PcbDoc Board6/Data
3,arc,9961.5793,11597.8253,-0.0639,107.9888,9964.0882,11598.0004,180.193411214511,183.991364331554,2.5150,MB1939.PcbDoc Board6/Data
4,line,9961.5732,11597.9919,-0.0640,107.9930,,,,,,MB1939.PcbDoc Board6/Data
5,arc,9961.5733,11597.9919,-0.0640,107.9930,10042.8280,11598.2662,179.275277705056,180.193411214511,81.2552,MB1939.PcbDoc Board6/Data
6,line,9961.5793,11599.2940,-0.0639,108.0261,,,,,,MB1939.PcbDoc Board6/Data
7,arc,9961.5793,11600.0989,-0.0639,108.0465,9964.0943,11600.0989,172.349338727347,180,2.5150,MB1939.PcbDoc Board6/Data
8,arc,9961.6017,11600.4337,-0.0633,108.0550,10042.8280,11598.2662,91.561919129484,178.471421434209,81.2552,MB1939.PcbDoc Board6/Data
9,line,10040.6132,11679.4912,1.9436,110.0631,,,,,,MB1939.PcbDoc Board6/Data
10,arc,10040.6132,11679.4913,1.9436,110.0631,10041.0019,11677.0065,90,98.8907480428266,2.5150,MB1939.PcbDoc Board6/Data
11,line,10041.0019,11679.5215,1.9534,110.0638,,,,,,MB1939.PcbDoc Board6/Data
12,arc,15789.5825,11679.5215,147.9674,110.0638,15790.5542,11677.2018,90,112.728513931756,2.5150,MB1939.PcbDoc Board6/Data
13,arc,15790.5542,11679.7168,147.9921,110.0688,15790.5542,11598.4616,86.0267106297168,90,81.2552,MB1939.PcbDoc Board6/Data
14,line,15796.1845,11679.5215,148.1351,110.0638,,,,,,MB1939.PcbDoc Board6/Data
15,arc,15800.3945,11679.5215,148.2420,110.0638,15800.3945,11677.0065,48.8213855308157,90,2.5150,MB1939.PcbDoc Board6/Data
16,arc,15802.0504,11678.8994,148.2841,110.0480,15790.5542,11598.4616,5.95440182115799,81.8663533268568,81.2552,MB1939.PcbDoc Board6/Data
17,line,15871.3710,11606.8908,150.0448,108.2190,,,,,,MB1939.PcbDoc Board6/Data
18,arc,15871.3711,11606.8908,150.0448,108.2190,15869.6061,11605.0991,0,45.4301089709617,2.5150,MB1939.PcbDoc Board6/Data
19,line,15872.1211,11605.0991,150.0639,108.1735,,,,,,MB1939.PcbDoc Board6/Data
20,arc,15872.1211,7415.9991,150.0639,1.7704,15869.6061,7415.9991,334.910645518556,360,2.5150,MB1939.PcbDoc Board6/Data
21,line,15871.8838,7414.9327,150.0578,1.7433,,,,,,MB1939.PcbDoc Board6/Data
22,arc,15871.8837,7414.9327,150.0578,1.7433,15797.9043,7417.8193,270,357.765483623106,74.0357,MB1939.PcbDoc Board6/Data
23,line,15797.9043,7343.7836,148.1788,-0.0639,,,,,,MB1939.PcbDoc Board6/Data
24,arc,10042.7348,7343.7836,1.9975,-0.0639,10042.7348,7346.2986,241.407511139781,270,2.5150,MB1939.PcbDoc Board6/Data
25,arc,10041.5312,7344.0903,1.9669,-0.0561,10042.7348,7425.3366,185.840767713418,269.151255559304,81.2552,MB1939.PcbDoc Board6/Data
26,arc,9961.9014,7417.0677,-0.0557,1.7975,9964.0943,7418.2991,180,209.315046642119,2.5150,MB1939.PcbDoc Board6/Data
27,line,9961.5793,7418.2991,-0.0639,1.8288,,,,,,MB1939.PcbDoc Board6/Data
28,line,9961.5793,7421.3126,-0.0639,1.9053,,,,,,MB1939.PcbDoc Board6/Data
